# B3LYP/aug-cc-pVTZ
Fe1	    0.0000000	0.0000000	0.0000000
C2	    0.0000000	1.3557290	1.8934930
C3	    1.2893750	0.4189430	1.8934930
C4	    0.7968780	-1.0968080	1.8934930
C5	    -0.7968780	-1.0968080	1.8934930
C6	    -1.2893750	0.4189430	1.8934930
C7	    0.0000000	1.3557290	-1.8934930
C8	    1.2893750	0.4189430	-1.8934930
C9	    0.7968780	-1.0968080	-1.8934930
C10	    -0.7968780	-1.0968080	-1.8934930
C11	    -1.2893750	0.4189430	-1.8934930
H12	    0.0000000	2.4095720	1.7452730
H13	    2.2916400	0.7445990	1.7452730
H14	    1.4163110	-1.9493850	1.7452730
H15	    -1.4163110	-1.9493850	1.7452730
H16	    -2.2916400	0.7445990	1.7452730
H17	    0.0000000	2.4095720	-1.7452730
H18	    2.2916400	0.7445990	-1.7452730
H19	    1.4163110	-1.9493850	-1.7452730
H20	    -1.4163110	-1.9493850	-1.7452730
H21	    -2.2916400	0.7445990	-1.7452730
