# --- Lattice vectors
7.389000000   0.000000000   0.000000000
3.694500000   6.399000000   0.000000000
0.000000000   0.000000000  30.000000000
# --- Atoms
# NO2
6.157500000 2.844000000  20.671823770
7.236352910 2.844000000  20.000000000
5.078647080 2.844000000  20.000000000
# Graphene
0.000000000 0.000000000 17.000000000
1.231500000 2.133000000 17.000000000
2.463000000 4.266000000 17.000000000
2.463000000 0.000000000 17.000000000
3.694500000 2.133000000 17.000000000
4.926000000 4.266000000 17.000000000
4.926000000 0.000000000 17.000000000
6.157500000 2.133000000 17.000000000
7.389000000 4.266000000 17.000000000
0.000000000 1.422000000 17.000000000
1.231500000 3.555000000 17.000000000
2.463000000 5.688000000 17.000000000
2.463000000 1.422000000 17.000000000
3.694500000 3.555000000 17.000000000
4.926000000 5.688000000 17.000000000
4.926000000 1.422000000 17.000000000
6.157500000 3.555000000 17.000000000
7.389000000 5.688000000 17.000000000
